Country,avg_points_price_ratio
Argentina,5.260493301
Armenia,6.214285714
Australia,4.197236485
Austria,3.752250359
Bosnia and Herzegovina,6.538461538
Brazil,4.161562175
Bulgaria,7.375276694
Canada,3.102892669
Chile,5.658516008
Croatia,4.191445309
Cyprus,5.595364358
Czech Republic,4.227777778
England,1.841166384
France,3.788515994
Georgia,5.575287476
Germany,3.727491275
Greece,4.786207955
Hungary,3.493417365
India,7.1625
Israel,3.631740526
Italy,3.49379577
Lebanon,3.739465458
Luxembourg,4.037001812
Macedonia,5.630555556
Mexico,4.009545361
Moldova,6.325976129
Morocco,4.656111111
New Zealand,4.171012601
Peru,5.71468254
Portugal,5.51722495
Romania,8.549444242
Serbia,4.346812678
Slovakia,5.4375
Slovenia,4.324393633
South Africa,4.973714091
Spain,4.944100428
Switzerland,1.574177632
Turkey,3.887723547
Ukraine,9.4
Uruguay,4.189702225
US,3.335923456
